iter	Passed	Remaining
778	7063	2003
779	7079	1996
780	7083	1986
781	7085	1975
782	7100	1967
783	7103	1957
784	7110	1947
785	7137	1943
786	7148	1934
787	7157	1925
788	7166	1916
789	7174	1907
790	7179	1897
791	7187	1887
792	7189	1876
793	7202	1868
794	7207	1858
795	7209	1847
796	7222	1839
797	7227	1829
798	7235	1820
799	7245	1811
800	7255	1802
801	7262	1792
802	7264	1782
803	7273	1773
804	7279	1763
805	7285	1753
806	7301	1746
807	7308	1736
808	7321	1728
809	7331	1719
810	7337	1710
811	7349	1701
812	7356	1692
813	7362	1682
814	7366	1672
815	7370	1661
816	7378	1652
817	7380	1642
818	7385	1632
819	7391	1622
820	7395	1612
821	7398	1602
822	7400	1591
823	7405	1581
824	7409	1571
825	7412	1561
826	7415	1551
827	7418	1541
828	7424	1531
829	7427	1521
830	7430	1511
831	7433	1501
832	7438	1491
833	7443	1481
834	7448	1471
835	7451	1461
836	7454	1451
837	7457	1441
838	7475	1434
839	7480	1424
840	7508	1419
841	7517	1410
842	7521	1400
843	7524	1390
844	7531	1381
845	7537	1372
846	7540	1362
847	7542	1352
848	7545	1342
849	7556	1333
850	7561	1323
851	7575	1315
852	7621	1313
853	7624	1303
854	7626	1293
855	7629	1283
856	7631	1273
857	7644	1265
858	7649	1255
859	7666	1248
860	7668	1238
861	7671	1228
862	7679	1219
863	7700	1212
864	7704	1202
865	7708	1192
866	7712	1183
867	7717	1173
868	7724	1164
869	7728	1154
870	7731	1145
871	7737	1135
872	7745	1126
873	7749	1117
874	7751	1107
875	7764	1099
876	7767	1089
877	7769	1079
878	7771	1069
879	7783	1061
880	7800	1053
881	7808	1044
882	7815	1035
883	7820	1026
884	7831	1017
885	7838	1008
886	7851	1000
887	7857	991
888	7867	982
889	7882	974
890	7901	966
891	7908	957
892	7913	948
893	7925	939
894	7930	930
895	7941	921
896	7946	912
897	7958	903
898	7965	894
899	7974	886
900	7980	876
901	8012	870
902	8028	862
903	8033	853
904	8051	845
905	8056	835
906	8070	827
